bigram,bigram_rank,word_rank,word,word_count
th,1,1,the,53097401461
th,1,2,that,8000768228
th,1,3,with,5182797249
th,1,4,this,3826060334
th,1,5,they,2462131290
th,1,6,their,2152980325
th,1,7,there,1623700147
th,1,8,other,1383185827
th,1,9,these,1305787385
th,1,10,them,1199636039
th,1,11,than,1185020453
th,1,12,then,872791735
he,2,1,the,53097401461
he,2,2,he,4110457083
he,2,3,they,2462131290
he,2,4,their,2152980325
he,2,5,her,1633278704
he,2,6,there,1623700147
he,2,7,when,1519738651
he,2,8,she,1392695717
he,2,9,other,1383185827
he,2,10,these,1305787385
he,2,11,them,1199636039
he,2,12,then,872791735
in,3,1,in,16891065263
in,3,2,into,1144226142
in,3,3,being,616194541
in,3,4,during,448173996
in,3,5,against,410444403
in,3,6,since,371590865
in,3,7,within,351785120
in,3,8,point,333858038
in,3,9,again,326183679
in,3,10,information,285127664
in,3,11,following,282890287
in,3,12,think,282298331
er,4,1,were,2270487439
er,4,2,her,1633278704
er,4,3,there,1623700147
er,4,4,other,1383185827
er,4,5,after,802220137
er,4,6,very,746876416
er,4,7,over,715517744
er,4,8,where,671644491
er,4,9,under,585610545
er,4,10,however,519207264
er,4,11,general,450612588
er,4,12,another,444695376
an,5,1,and,22632024504
an,5,2,an,2726250863
an,5,3,can,1665414118
an,5,4,than,1185020453
an,5,5,any,983649138
an,5,6,many,732675942
an,5,7,man,609019192
an,5,8,another,444695376
an,5,9,american,329409247
an,5,10,important,318798581
an,5,11,hand,297264744
an,5,12,human,279027691
re,6,1,are,3700433333
re,6,2,were,2270487439
re,6,3,there,1623700147
re,6,4,more,1547251508
re,6,5,where,671644491
re,6,6,before,605166565
re,6,7,great,557149997
re,6,8,three,487787199
re,6,9,here,432309508
re,6,10,different,381761001
re,6,11,children,336723802
re,6,12,present,313754008
on,7,1,on,4594521081
on,7,2,one,2148983086
on,7,3,only,1135235700
on,7,4,upon,532434413
on,7,5,long,477333877
on,7,6,among,321351351
on,7,7,second,316484908
on,7,8,information,285127664
on,7,9,once,267334111
on,7,10,national,265411421
on,7,11,control,254704442
on,7,12,common,232507127
at,8,1,that,8000768228
at,8,2,at,3413452256
at,8,3,what,1222533828
at,8,4,great,557149997
at,8,5,state,553386027
at,8,6,states,379406076
at,8,7,water,355340324
at,8,8,information,285127664
at,8,9,rather,269938951
at,8,10,later,269420608
at,8,11,national,265411421
at,8,12,nature,258607404
en,9,1,been,1619043628
en,9,2,when,1519738651
en,9,3,then,872791735
en,9,4,between,744064796
en,9,5,even,677507335
en,9,6,men,454094525
en,9,7,general,450612588
en,9,8,government,390643826
en,9,9,different,381761001
en,9,10,given,370958373
en,9,11,children,336723802
en,9,12,often,325385700
nd,10,1,and,22632024504
nd,10,2,under,585610545
nd,10,3,found,436617767
nd,10,4,end,318429766
nd,10,5,second,316484908
nd,10,6,hand,297264744
nd,10,7,find,274292734
nd,10,8,land,230194244
nd,10,9,around,225965973
nd,10,10,mind,220137001
nd,10,11,individual,199046341
nd,10,12,london,192383215
ti,11,1,time,1167810273
ti,11,2,still,408263128
ti,11,3,information,285127664
ti,11,4,political,279042950
ti,11,5,until,266946065
ti,11,6,national,265411421
ti,11,7,times,244274912
ti,11,8,question,222529720
ti,11,9,action,212759202
ti,11,10,education,209865301
ti,11,11,section,202298684
ti,11,12,position,201281266
es,12,1,these,1305787385
es,12,2,does,426675356
es,12,3,states,379406076
es,12,4,less,337388744
es,12,5,present,313754008
es,12,6,process,261231720
es,12,7,times,244274912
