# provisional=true — until learner error/hesitation data exists (DEC-16)
# word_floor_subtlex_freqcount=250
# word_floor_subtlex_cdcount=100
# word_lower_ratio=0.5
# excluded_words=39
# word_floor_per_million=5.0
# source=Google Books word list ∩ SUBTLEX-US
# order=SUBTLEX-US frequency desc, then word
word,subtlex_freqcount,subtlex_cdcount,provisional
you,2134713,8381,True
the,1501908,8388,True
to,1156570,8383,True
s,1057301,8377,True
a,1041179,8382,True
it,963712,8377,True
t,733338,8355,True
that,719677,8368,True
and,682780,8379,True
of,590439,8375,True
in,498444,8372,True
me,471339,8355,True
is,459663,8370,True
we,459607,8359,True
this,406915,8360,True
he,389497,8350,True
on,354742,8372,True
for,351650,8374,True
my,344899,8349,True
m,343245,8291,True
your,328715,8347,True
have,314232,8363,True
do,312915,8348,True
re,311072,8268,True
be,293085,8363,True
know,291780,8340,True
was,288391,8345,True
not,276673,8349,True
can,267620,8353,True
are,265672,8362,True
all,263255,8279,True
with,257465,8351,True
just,242206,8338,True
get,233772,8336,True
here,230788,8352,True
but,225291,8350,True
there,221754,8355,True
so,216452,8350,True
they,209250,8332,True
right,204428,8320,True
like,203947,8341,True
out,197131,8343,True
go,193445,8343,True
she,190377,8126,True
up,187170,8345,True
about,185206,8321,True
if,180610,8340,True
him,177710,8254,True
got,168631,8249,True
at,164072,8346,True
now,163333,8350,True
one,156684,8346,True
her,144627,8076,True
want,140718,8305,True
think,137261,8301,True
good,133117,8316,True
see,130393,8326,True
did,119410,8306,True
who,113370,8318,True
as,113068,8239,True
his,108364,8186,True
will,108306,8129,True
going,108288,8238,True
from,103992,8306,True
when,103739,8312,True
back,102467,8273,True
d,101335,8138,True
time,99890,8308,True
look,99311,8290,True
take,96443,8299,True
an,95071,8285,True
man,94133,8054,True
them,90720,8162,True
would,90162,8268,True
been,88573,8261,True
some,88089,8269,True
tell,87949,8121,True
or,86970,8239,True
us,86478,8199,True
had,85472,8224,True
were,84804,8237,True
say,83629,8231,True
could,83109,8233,True
really,76508,7956,True
something,76508,8231,True
down,76004,8161,True
then,75966,8255,True
little,73766,8072,True
way,72661,8222,True
our,71425,8113,True
make,70775,8215,True
too,69950,8200,True
never,69490,8158,True
by,68364,8203,True
over,67488,8171,True
more,66228,8177,True
need,66040,8076,True
mean,63443,8032,True
very,63304,7863,True
off,60155,8058,True
sorry,59566,7923,True
give,59559,8088,True
has,57830,8074,True
love,56864,7377,True
said,56531,8026,True
am,56438,7983,True
people,56252,7889,True
please,56149,7837,True
sure,56091,8007,True
any,56068,8049,True
