rank,bigram,count,share_of_all_bigrams,movement_class,row_change,from_hand,from_finger,from_row,to_hand,to_finger,to_row
1,th,100272945963,0.035562033867788265,alternate_hands,True,L,index,top,R,index,home
2,he,86697336727,0.030747412428375958,alternate_hands,True,R,index,home,L,middle,top
3,in,68595215308,0.024327452898924896,same_hand_different_fingers,True,R,middle,top,R,index,bottom
4,er,57754162106,0.020482648127014873,same_hand_different_fingers,False,L,middle,top,L,index,top
5,an,55974567611,0.019851510793865493,alternate_hands,True,L,pinky,home,R,index,bottom
6,re,52285662239,0.018543231910521065,same_hand_different_fingers,False,L,index,top,L,middle,top
7,on,49570981965,0.01758046422760261,same_hand_different_fingers,True,R,ring,top,R,index,bottom
8,at,41920838452,0.014867323009999081,same_hand_different_fingers,True,L,pinky,home,L,index,top
9,en,41004903554,0.014542484564787907,alternate_hands,True,L,middle,top,R,index,bottom
10,nd,38129777631,0.013522814458699572,alternate_hands,True,R,index,bottom,L,middle,home
11,ti,37856196209,0.013425788170089764,alternate_hands,False,L,index,top,R,middle,top
12,es,37766388079,0.013393937507580644,same_hand_different_fingers,True,L,middle,top,L,ring,home
13,or,35994097756,0.012765390616045856,alternate_hands,False,R,ring,top,L,index,top
14,te,33973261529,0.012048696340679248,same_hand_different_fingers,False,L,index,top,L,middle,top
15,of,33130341561,0.011749752810478072,alternate_hands,True,R,ring,top,L,index,home
16,ed,32937140633,0.011681233651308664,same_finger_different_key,True,L,middle,top,L,middle,home
17,is,31817918249,0.01128429882563713,alternate_hands,True,R,middle,top,L,ring,home
18,it,31672532308,0.011232737362990464,alternate_hands,False,R,middle,top,L,index,top
19,al,30662410438,0.010874495288754523,alternate_hands,False,L,pinky,home,R,ring,home
20,ar,30308513014,0.010748984742942346,same_hand_different_fingers,True,L,pinky,home,L,index,top
21,st,29704461829,0.010534756583067857,same_hand_different_fingers,True,L,ring,home,L,index,top
22,to,29360205581,0.010412665302782832,alternate_hands,False,L,index,top,R,ring,top
23,nt,29359771944,0.010412511512410641,alternate_hands,True,R,index,bottom,L,index,top
24,ng,26871805511,0.009530148421324101,alternate_hands,True,R,index,bottom,L,index,home
25,se,26282488562,0.009321145792569853,same_hand_different_fingers,True,L,ring,home,L,middle,top
26,ha,26103411208,0.009257635591819875,alternate_hands,False,R,index,home,L,pinky,home
27,as,24561944198,0.008710950725934656,same_hand_different_fingers,False,L,pinky,home,L,ring,home
28,ou,24531132241,0.008700023193609326,same_hand_different_fingers,False,R,ring,top,R,index,top
29,io,23542263265,0.008349318507738292,same_hand_different_fingers,False,R,middle,top,R,ring,top
30,le,23382173640,0.008292542349309354,alternate_hands,True,R,ring,home,L,middle,top
31,ve,23270129573,0.008252805659945416,same_hand_different_fingers,True,L,index,bottom,L,middle,top
32,co,22384167777,0.00793859724517974,alternate_hands,True,L,middle,bottom,R,ring,top
33,me,22360109325,0.007930064859134691,alternate_hands,True,R,index,bottom,L,middle,top
34,de,21565300071,0.007648183905725693,same_finger_different_key,True,L,middle,home,L,middle,top
35,hi,21520845924,0.0076324181389379,same_hand_different_fingers,True,R,index,home,R,middle,top
36,ri,20516398905,0.007276188663828457,alternate_hands,False,L,index,top,R,middle,top
37,ro,20491179118,0.007267244407620373,alternate_hands,False,L,index,top,R,ring,top
38,ic,19701195496,0.0069870748758413,alternate_hands,True,R,middle,top,L,middle,bottom
39,ne,19504235770,0.006917222650205216,alternate_hands,True,R,index,bottom,L,middle,top
40,ea,19403941063,0.006881652898734964,same_hand_different_fingers,True,L,middle,top,L,pinky,home
41,ra,19332539912,0.006856330314206551,same_hand_different_fingers,True,L,index,top,L,pinky,home
42,ce,18367773425,0.006514173632205198,same_finger_different_key,True,L,middle,bottom,L,middle,top
43,li,17604626629,0.0062435218432823885,same_hand_different_fingers,True,R,ring,home,R,middle,top
44,ch,16854985236,0.005977659776993852,alternate_hands,True,L,middle,bottom,R,index,home
45,ll,16257360474,0.00576571076300642,same_key,False,R,ring,home,R,ring,home
46,be,16249257887,0.005762837161652202,same_hand_different_fingers,True,L,index,bottom,L,middle,top
47,ma,15938689768,0.0056526934547922415,alternate_hands,True,R,index,bottom,L,pinky,home
48,si,15509759748,0.00550057242402309,alternate_hands,True,L,ring,home,R,middle,top
49,om,15402602484,0.005462568850726722,same_hand_different_fingers,True,R,ring,top,R,index,bottom
50,ur,15303657594,0.005427477814999868,alternate_hands,False,R,index,top,L,index,top
51,ca,15174413181,0.005381640982859478,same_hand_different_fingers,True,L,middle,bottom,L,pinky,home
52,el,14952716079,0.0053030155892002185,alternate_hands,True,L,middle,top,R,ring,home
53,ta,14941000711,0.005298860706648515,same_hand_different_fingers,True,L,index,top,L,pinky,home
54,la,14874551789,0.005275294441670981,alternate_hands,False,R,ring,home,L,pinky,home
55,ns,14350320288,0.005089374518664006,alternate_hands,True,R,index,bottom,L,ring,home
56,di,13899990598,0.0049296640450796365,alternate_hands,True,L,middle,home,R,middle,top
57,fo,13753006196,0.004877535684515768,alternate_hands,True,L,index,home,R,ring,top
58,ho,13672603513,0.004849020685694829,same_hand_different_fingers,True,R,index,home,R,ring,top
59,pe,13477683504,0.004779891850444238,alternate_hands,False,R,pinky,top,L,middle,top
60,ec,13457763533,0.004772827186326274,same_finger_different_key,True,L,middle,top,L,middle,bottom
61,pr,13378480175,0.00474470915872401,alternate_hands,False,R,pinky,top,L,index,top
62,no,13099447521,0.004645749577986965,same_hand_different_fingers,True,R,index,bottom,R,ring,top
63,ct,12997849406,0.004609717569833274,same_hand_different_fingers,True,L,middle,bottom,L,index,top
64,us,12808517567,0.004542570592090613,alternate_hands,True,R,index,top,L,ring,home
65,ac,12625666388,0.004477721995513402,same_hand_different_fingers,True,L,pinky,home,L,middle,bottom
66,ot,12465822481,0.004421032981545556,alternate_hands,False,R,ring,top,L,index,top
67,il,12167821320,0.004315346175614546,same_hand_different_fingers,True,R,middle,top,R,ring,home
68,tr,12006693396,0.004258201782026581,same_finger_different_key,False,L,index,top,L,index,top
69,ly,11983948242,0.0042501351601765104,same_hand_different_fingers,True,R,ring,home,R,index,top
70,nc,11722631112,0.004157458431293705,alternate_hands,False,R,index,bottom,L,middle,bottom
71,et,11634161334,0.004126082418439024,same_hand_different_fingers,False,L,middle,top,L,index,top
72,ut,11423899818,0.004051512681993427,alternate_hands,False,R,index,top,L,index,top
73,ss,11421755201,0.004050752088578574,same_key,False,L,ring,home,L,ring,home
74,so,11214705934,0.003977321583723639,alternate_hands,True,L,ring,home,R,ring,top
75,rs,11180732354,0.003965272774436477,same_hand_different_fingers,True,L,index,top,L,ring,home
76,un,11121118166,0.003944130463793296,same_finger_different_key,True,R,index,top,R,index,bottom
77,lo,10908830081,0.0038688419999310334,same_finger_different_key,True,R,ring,home,R,ring,top
78,wa,10865206430,0.0038533707704842494,same_hand_different_fingers,True,L,ring,top,L,pinky,home
79,ge,10861045622,0.0038518951302346054,same_hand_different_fingers,True,L,index,home,L,middle,top
80,ie,10845731320,0.003846463877356222,alternate_hands,False,R,middle,top,L,middle,top
81,wh,10680697684,0.0037879343139092495,alternate_hands,True,L,ring,top,R,index,home
82,ee,10647199443,0.0037760540847057225,same_key,False,L,middle,top,L,middle,top
83,wi,10557401491,0.003744207031848012,alternate_hands,False,L,ring,top,R,middle,top
84,em,10536054813,0.003736636382769038,alternate_hands,True,L,middle,top,R,index,bottom
85,ad,10375130449,0.0036795641822092583,same_hand_different_fingers,False,L,pinky,home,L,middle,home
86,ol,10305660447,0.0036549264841722333,same_finger_different_key,True,R,ring,top,R,ring,home
87,rt,10198055461,0.0036167641252256148,same_finger_different_key,False,L,index,top,L,index,top
88,po,10189505383,0.003613731820145834,same_hand_different_fingers,False,R,pinky,top,R,ring,top
89,we,10176141608,0.0036089923262116784,same_hand_different_fingers,False,L,ring,top,L,middle,top
90,na,9790855551,0.003472349728587426,alternate_hands,True,R,index,bottom,L,pinky,home
91,ul,9751225781,0.0034582949383408857,same_hand_different_fingers,True,R,index,top,R,ring,home
92,ni,9564648232,0.0033921247759627383,same_hand_different_fingers,True,R,index,bottom,R,middle,top
93,ts,9516029773,0.0033748821262235386,same_hand_different_fingers,True,L,index,top,L,ring,home
94,mo,9498813191,0.0033687762253118664,same_hand_different_fingers,True,R,index,bottom,R,ring,top
95,ow,9318366591,0.0033047804182783813,alternate_hands,False,R,ring,top,L,ring,top
96,pa,9123652775,0.0032357247098555595,alternate_hands,True,R,pinky,top,L,pinky,home
97,im,8959759181,0.0031775994649595714,same_hand_different_fingers,True,R,middle,top,R,index,bottom
98,mi,8957825538,0.0031769136939652737,same_hand_different_fingers,True,R,index,bottom,R,middle,top
99,ai,8922759715,0.003164477518153824,alternate_hands,True,L,pinky,home,R,middle,top
100,sh,8888705287,0.0031524000359351304,alternate_hands,False,L,ring,home,R,index,home
101,ir,8886799024,0.0031517239753216133,alternate_hands,False,R,middle,top,L,index,top
102,su,8774129154,0.0031117653434659404,alternate_hands,True,L,ring,home,R,index,top
103,id,8332214014,0.002955039109640445,alternate_hands,True,R,middle,top,L,middle,home
104,os,8176085241,0.002899667676599962,alternate_hands,True,R,ring,top,L,ring,home
105,iv,8116349309,0.0028784821891635827,alternate_hands,True,R,middle,top,L,index,bottom
106,ia,8072199471,0.0028628243462715157,alternate_hands,True,R,middle,top,L,pinky,home
107,am,8032259916,0.0028486596900530927,alternate_hands,True,L,pinky,home,R,index,bottom
108,fi,8024355222,0.002845856271912309,alternate_hands,True,L,index,home,R,middle,top
109,ci,7936922442,0.0028148480328139764,alternate_hands,True,L,middle,bottom,R,middle,top
110,vi,7600241898,0.0026954434935998663,alternate_hands,True,L,index,bottom,R,middle,top
111,pl,7415349106,0.002629870834216346,same_hand_different_fingers,True,R,pinky,top,R,ring,home
112,ig,7189051323,0.002549613798323326,alternate_hands,True,R,middle,top,L,index,home
113,tu,7187510085,0.0025490671946763704,alternate_hands,False,L,index,top,R,index,top
114,ev,7184041787,0.0025478371547114024,same_hand_different_fingers,True,L,middle,top,L,index,bottom
115,ld,7122648226,0.002526063785288789,alternate_hands,False,R,ring,home,L,middle,home
116,ry,6985436186,0.0024774012156725655,alternate_hands,False,L,index,top,R,index,top
