rank,bigram,count,share,movement_class,from_hand,from_finger,from_home_key,from_home_reach,to_hand,to_finger,to_home_key,to_home_reach,combined_home_reach,max_home_reach,same_finger_travel,row_change,row_span,roll_direction,outer_finger_involved,pinky_involved,top_words
1,th,100272945963,0.035562033867788265,alternate_hands,L,index,f,1.25,R,index,j,1.0,2.25,1.25,,True,1.0,cross_hand,False,False,"the, that, with, this, they, their, there, other, these, them, than, then"
2,he,86697336727,0.030747412428375958,alternate_hands,R,index,j,1.0,L,middle,d,1.0308,2.0308,1.0308,,True,1.0,cross_hand,False,False,"the, he, they, their, her, there, when, she, other, these, them, then"
3,in,68595215308,0.024327452898924896,same_hand_different_fingers,R,middle,k,1.0308,R,index,j,1.118,2.1488,1.118,,True,2.0,inward,False,False,"in, into, being, during, against, since, within, point, again, information, following, think"
4,er,57754162106,0.020482648127014873,same_hand_different_fingers,L,middle,d,1.0308,L,index,f,1.0308,2.0616,1.0308,,False,0.0,inward,False,False,"were, her, there, other, after, very, over, where, under, however, general, another"
5,an,55974567611,0.019851510793865493,alternate_hands,L,pinky,a,0.0,R,index,j,1.118,1.118,1.118,,True,1.0,cross_hand,True,True,"and, an, can, than, any, many, man, another, american, important, hand, human"
6,re,52285662239,0.018543231910521065,same_hand_different_fingers,L,index,f,1.0308,L,middle,d,1.0308,2.0616,1.0308,,False,0.0,outward,False,False,"are, were, there, more, where, before, great, three, here, different, children, present"
7,on,49570981965,0.01758046422760261,same_hand_different_fingers,R,ring,l,1.0308,R,index,j,1.118,2.1488,1.118,,True,2.0,inward,True,False,"on, one, only, upon, long, among, second, information, once, national, control, common"
8,at,41920838452,0.014867323009999081,same_hand_different_fingers,L,pinky,a,0.0,L,index,f,1.25,1.25,1.25,,True,1.0,inward,True,True,"that, at, what, great, state, states, water, information, rather, later, national, nature"
9,en,41004903554,0.014542484564787907,alternate_hands,L,middle,d,1.0308,R,index,j,1.118,2.1488,1.118,,True,2.0,cross_hand,False,False,"been, when, then, between, even, men, general, government, different, given, children, often"
10,nd,38129777631,0.013522814458699572,alternate_hands,R,index,j,1.118,L,middle,d,0.0,1.118,1.118,,True,1.0,cross_hand,False,False,"and, under, found, end, second, hand, find, land, around, mind, individual, london"
11,ti,37856196209,0.013425788170089764,alternate_hands,L,index,f,1.25,R,middle,k,1.0308,2.2808,1.25,,False,0.0,cross_hand,False,False,"time, still, information, political, until, national, times, question, action, education, section, position"
12,es,37766388079,0.013393937507580644,same_hand_different_fingers,L,middle,d,1.0308,L,ring,s,0.0,1.0308,1.0308,,True,1.0,outward,True,False,"these, does, states, less, present, process, times, best, business, question, interest, themselves"
13,or,35994097756,0.012765390616045856,alternate_hands,R,ring,l,1.0308,L,index,f,1.0308,2.0616,1.0308,,False,0.0,cross_hand,True,False,"for, or, more, work, before, world, order, form, important, york, information, history"
14,te,33973261529,0.012048696340679248,same_hand_different_fingers,L,index,f,1.25,L,middle,d,1.0308,2.2808,1.25,,False,0.0,outward,False,False,"after, state, system, states, water, often, united, later, chapter, better, white, interest"
15,of,33130341561,0.011749752810478072,alternate_hands,R,ring,l,1.0308,L,index,f,0.0,1.0308,1.0308,,True,1.0,cross_hand,True,False,"of, often, off, office, officers, offered, offer, professional, official, officer, professor, soft"
16,ed,32937140633,0.011681233651308664,same_finger_different_key,L,middle,d,1.0308,L,middle,d,0.0,1.0308,1.0308,1.0308,True,1.0,same_finger,False,False,"used, called, united, need, education, based, knowledge, asked, required, considered, indeed, received"
17,is,31817918249,0.01128429882563713,alternate_hands,R,middle,k,1.0308,L,ring,s,0.0,1.0308,1.0308,,True,1.0,cross_hand,True,False,"is, this, his, history, english, analysis, british, basis, established, disease, decision, published"
18,it,31672532308,0.011232737362990464,alternate_hands,R,middle,k,1.0308,L,index,f,1.25,2.2808,1.25,,False,0.0,cross_hand,False,False,"it, with, its, without, little, within, political, united, university, city, either, white"
19,al,30662410438,0.010874495288754523,alternate_hands,L,pinky,a,0.0,R,ring,l,0.0,0.0,0.0,,False,0.0,cross_hand,True,True,"all, also, general, social, small, shall, called, always, political, although, several, national"
