ngram,rank_books,share_books,rank_web,share_web,rank_subtlex,share_subtlex,rank_spread,stability_class,missing_from,finger
ed,1,0.16831552,1,0.11142656,1,0.12199218,0,universal,,L-middle
de,2,0.11020309,2,0.08978584,3,0.07614321,1,universal,,L-middle
lo,7,0.05574635,6,0.05493980,2,0.08080835,5,universal,,R-ring
ce,3,0.09386308,4,0.07357779,4,0.06138240,1,universal,,L-middle
ec,4,0.06877192,3,0.07717868,10,0.04220806,7,universal,,L-middle
tr,5,0.06135666,7,0.05230212,9,0.04392598,4,universal,,L-index
un,6,0.05683119,9,0.04453509,5,0.05729412,4,universal,,R-index
rt,9,0.05211415,5,0.06039729,11,0.04065327,6,universal,,L-index
my,22,0.00896047,27,0.00798547,6,0.05056388,21,universal,,R-index
ol,8,0.05266403,8,0.04563086,7,0.04747739,1,universal,,R-ring
ki,17,0.01410336,14,0.01669155,8,0.04424839,9,universal,,R-middle
fr,10,0.03071846,10,0.02797512,13,0.03144925,3,universal,,L-index
gr,11,0.02835383,12,0.02330313,16,0.02113305,5,universal,,L-index
ft,18,0.01176706,11,0.02551774,22,0.01155335,11,universal,,L-index
um,12,0.01993963,13,0.01938732,21,0.01396395,9,universal,,R-index
ju,23,0.00845846,28,0.00785538,12,0.03575071,16,universal,,R-index
mu,13,0.01651545,21,0.01297099,19,0.01731030,8,universal,,R-index
br,14,0.01607472,15,0.01447397,17,0.01966634,3,universal,,L-index
ny,16,0.01410898,18,0.01385099,14,0.02974693,4,universal,,R-index
rg,15,0.01437641,20,0.01312507,23,0.01134495,8,universal,,L-index
ik,25,0.00618332,34,0.00582089,15,0.02972603,19,unstable,web,R-middle
nu,19,0.01133192,16,0.01446396,25,0.01000863,9,universal,,R-index
sw,33,0.00339019,17,0.01416655,27,0.00704955,16,unstable,books,L-ring
hy,24,0.00721736,37,0.00505532,18,0.01767875,19,unstable,web,R-index
rv,21,0.00998307,19,0.01365615,28,0.00503991,9,universal,,L-index
hu,20,0.01061843,30,0.00740756,20,0.01666780,10,universal,,R-index
ws,26,0.00505529,22,0.01191926,29,0.00497297,7,universal,,L-ring
gt,35,0.00221937,23,0.01114388,44,0.00068699,21,web-leaning,"books,subtlex",L-index
nm,28,0.00399844,24,0.00888159,39,0.00102836,15,unstable,subtlex,R-index
uy,43,0.00065811,43,0.00316445,24,0.01075468,19,conversational-leaning,"books,web",R-index
dc,46,0.00036298,25,0.00863818,48,0.00028540,23,web-leaning,"books,subtlex",L-middle
rf,27,0.00464842,26,0.00853869,30,0.00459846,4,universal,,L-index
uh,53,0.00015380,58,0.00101693,26,0.00766458,32,conversational-leaning,"books,web",R-index
rb,29,0.00384898,29,0.00743565,35,0.00236391,6,unstable,subtlex,L-index
hn,30,0.00371148,36,0.00517362,33,0.00288453,6,book-leaning,"web,subtlex",R-index
za,31,0.00358838,45,0.00300398,37,0.00139655,14,below-cut,"books,web,subtlex",L-pinky
az,38,0.00171023,39,0.00371836,31,0.00364697,8,below-cut,"books,web,subtlex",L-pinky
tb,45,0.00036664,31,0.00719990,42,0.00071988,14,below-cut,"books,web,subtlex",L-index
ym,32,0.00341133,32,0.00703252,34,0.00242942,2,below-cut,"books,web,subtlex",R-index
mn,41,0.00126657,50,0.00185348,32,0.00320243,18,below-cut,"books,web,subtlex",R-index
tf,42,0.00081572,33,0.00699610,46,0.00067332,13,below-cut,"books,web,subtlex",L-index
bt,34,0.00246451,53,0.00157116,40,0.00100037,19,below-cut,"books,web,subtlex",L-index
nh,40,0.00156824,35,0.00541042,43,0.00069847,8,below-cut,"books,web,subtlex",R-index
yn,36,0.00190404,38,0.00458618,41,0.00097574,5,below-cut,"books,web,subtlex",R-index
hm,37,0.00183618,40,0.00353751,36,0.00144594,4,below-cut,"books,web,subtlex",R-index
nj,39,0.00159744,49,0.00260869,38,0.00132059,11,below-cut,"books,web,subtlex",R-index
yh,56,0.00007503,41,0.00325111,51,0.00016211,15,below-cut,"books,web,subtlex",R-index
tg,49,0.00028373,42,0.00323764,50,0.00021189,8,below-cut,"books,web,subtlex",L-index
bv,44,0.00055387,72,0.00029515,47,0.00060574,28,below-cut,"books,web,subtlex",L-index
cd,48,0.00032146,44,0.00301329,52,0.00010072,8,below-cut,"books,web,subtlex",L-middle
tv,52,0.00016764,47,0.00265137,45,0.00067525,7,below-cut,"books,web,subtlex",L-index
gf,51,0.00017356,46,0.00294930,55,0.00007325,9,below-cut,"books,web,subtlex",L-index
aq,47,0.00032339,51,0.00170955,53,0.00008228,6,below-cut,"books,web,subtlex",L-pinky
gb,59,0.00007126,48,0.00264756,57,0.00004836,11,below-cut,"books,web,subtlex",L-index
yu,50,0.00019131,52,0.00164556,49,0.00021485,3,below-cut,"books,web,subtlex",R-index
vr,54,0.00012623,64,0.00042052,56,0.00005055,10,below-cut,"books,web,subtlex",L-index
uj,57,0.00007434,73,0.00028144,54,0.00007777,19,below-cut,"books,web,subtlex",R-index
fb,60,0.00003951,54,0.00144050,58,0.00003572,6,below-cut,"books,web,subtlex",L-index
mh,55,0.00007683,55,0.00128898,60,0.00002760,5,below-cut,"books,web,subtlex",R-index
fg,58,0.00007371,56,0.00126022,61,0.00001818,5,below-cut,"books,web,subtlex",L-index
yj,79,0.00000287,57,0.00105859,62,0.00001212,22,below-cut,"books,web,subtlex",R-index
xw,62,0.00003216,71,0.00029931,59,0.00003456,12,below-cut,"books,web,subtlex",L-ring
xs,72,0.00000922,59,0.00079117,66,0.00000400,13,below-cut,"books,web,subtlex",L-ring
fv,78,0.00000413,60,0.00050512,,0.00000000,,below-cut,"books,web,subtlex",L-index
bg,61,0.00003681,68,0.00032600,67,0.00000284,7,below-cut,"books,web,subtlex",L-index
