same_finger_rank,overall_bigram_rank,bigram,count,share_of_same_finger_mass,share_of_all_bigram_mass,finger
1,16,ed,32937140633,0.16831552089681748,0.011681233651308664,L-middle
2,34,de,21565300071,0.11020309125163821,0.007648183905725693,L-middle
3,42,ce,18367773425,0.0938630765248066,0.006514173632205198,L-middle
4,60,ec,13457763533,0.06877192238398545,0.004772827186326274,L-middle
5,68,tr,12006693396,0.061356657389116186,0.004258201782026581,L-index
6,76,un,11121118166,0.056831186954641726,0.003944130463793296,R-index
7,77,lo,10908830081,0.055746351449183086,0.0038688419999310334,R-ring
8,86,ol,10305660447,0.05266403133320628,0.0036549264841722333,R-ring
9,87,rt,10198055461,0.05211414786057907,0.0036167641252256148,L-index
10,129,fr,6011200185,0.03071846161835953,0.0021318861484722396,L-index
11,135,gr,5548472398,0.02835382804648524,0.0019677786609059254,L-index
12,169,um,3901923211,0.019939625150728477,0.001383826156162727,R-index
13,187,mu,3231856188,0.016515445703316856,0.001146185325560156,R-index
14,188,br,3145611704,0.016074718761938306,0.0011155985184063137,L-index
15,194,rg,2813274913,0.01437640983118985,0.0009977345013122607,L-index
16,197,ny,2760941827,0.01410897706498905,0.0009791744504544292,R-index
17,198,ki,2759841743,0.014103355410894865,0.0009787843031012254,R-middle
18,219,ft,2302659749,0.011767061974795618,0.000816643643941075,L-index
19,221,nu,2217508482,0.011331921595737657,0.0007864445487428901,R-index
20,223,hu,2077887429,0.010618429476743215,0.0007369276170545124,R-index
21,227,rv,1953555667,0.009983068759848371,0.000692833068035106,L-index
22,236,my,1753447198,0.008960473581630199,0.0006218641333591955,R-index
23,239,ju,1655210582,0.008458464394572403,0.0005870242886563383,R-index
24,253,hy,1412343465,0.007217363785322582,0.000500890899862585,R-index
25,258,ik,1209994695,0.006183320211082963,0.0004291274372183285,R-middle
26,266,ws,989253674,0.005055288474907137,0.00035084111991287353,L-ring
27,269,rf,909634941,0.004648420475424116,0.000322604150785616,L-index
28,275,nm,782441941,0.003998438247519989,0.00027749485704436466,R-index
29,277,rb,753194669,0.003848978709536939,0.00026712224389915793,L-index
30,284,hn,726288117,0.0037114807291907075,0.0002575797725545694,R-index
31,286,za,702199296,0.0035883819301910477,0.00024903661607292787,L-pinky
32,288,ym,667551857,0.003411326435058514,0.00023674882112168774,R-index
33,289,sw,663415953,0.003390191120250957,0.00023528201313365683,L-ring
34,306,bt,482272940,0.0024645132986805375,0.00017103922160745399,L-index
35,312,gt,434302509,0.002219374591244584,0.0001540263965080112,L-index
36,319,yn,372595315,0.0019040382171215413,0.00013214179641135189,R-index
37,321,hm,359316447,0.0018361804874769472,0.0001274324149425344,R-index
38,326,az,334669428,0.0017102291826031307,0.00011869129223989193,L-pinky
39,331,nj,312598990,0.0015974447332854802,0.00011086395999094682,R-index
40,333,nh,306883963,0.001568239777179466,0.00010883711235245899,R-index
41,342,mn,247850339,0.0012665658922268778,8.790070008427924e-05,R-index
42,361,tf,159626603,0.0008157245685745889,5.661194659804483e-05,L-index
43,373,uy,128782521,0.0006581050051079076,4.567302106663002e-05,R-index
44,385,bv,108385069,0.0005538698562040568,3.843901719974211e-05,L-index
45,411,tb,71746167,0.00036663757809188866,2.544494525651471e-05,L-index
46,412,dc,71030077,0.0003629782118250354,2.5190982269910315e-05,L-middle
47,417,aq,63283982,0.0003233940830942324,2.2443811633926902e-05,L-pinky
48,419,cd,62905910,0.00032146205789734133,2.230972751842257e-05,L-middle
49,425,tg,55522877,0.00028373325019542616,1.969131766647826e-05,L-index
50,439,yu,37436235,0.00019130681271487012,1.3276847949034266e-05,R-index
51,448,gf,33962536,0.00017355550081021861,1.2044892506834687e-05,L-index
52,453,tv,32805751,0.00016764409301650294,1.1634636011898067e-05,L-index
53,456,uh,30097154,0.00015380260871662453,1.067402577627447e-05,R-index
54,465,vr,24701238,0.00012622837504603317,8.760351597293566e-06,L-index
55,491,mh,15033898,7.682629166796449e-05,5.331806946593063e-06,R-index
