rank,ngram,count,share,cumulative_share
1,th,100272945963,0.035562033867788265,0.035562033867788265
2,he,86697336727,0.030747412428375958,0.06630944629616423
3,in,68595215308,0.024327452898924896,0.09063689919508912
4,er,57754162106,0.020482648127014873,0.111119547322104
5,an,55974567611,0.019851510793865493,0.13097105811596949
6,re,52285662239,0.018543231910521065,0.14951429002649055
7,on,49570981965,0.01758046422760261,0.16709475425409315
8,at,41920838452,0.014867323009999081,0.18196207726409225
9,en,41004903554,0.014542484564787907,0.19650456182888015
10,nd,38129777631,0.013522814458699572,0.21002737628757973
11,ti,37856196209,0.013425788170089764,0.2234531644576695
12,es,37766388079,0.013393937507580644,0.23684710196525013
13,or,35994097756,0.012765390616045856,0.24961249258129597
14,te,33973261529,0.012048696340679248,0.26166118892197526
15,of,33130341561,0.011749752810478072,0.2734109417324533
16,ed,32937140633,0.011681233651308664,0.28509217538376197
17,is,31817918249,0.01128429882563713,0.2963764742093991
18,it,31672532308,0.011232737362990464,0.3076092115723896
19,al,30662410438,0.010874495288754523,0.3184837068611441
20,ar,30308513014,0.010748984742942346,0.3292326916040864
21,st,29704461829,0.010534756583067857,0.33976744818715426
22,to,29360205581,0.010412665302782832,0.3501801134899371
23,nt,29359771944,0.010412511512410641,0.3605926250023478
24,ng,26871805511,0.009530148421324101,0.3701227734236719
25,se,26282488562,0.009321145792569853,0.3794439192162417
26,ha,26103411208,0.009257635591819875,0.38870155480806157
27,as,24561944198,0.008710950725934656,0.39741250553399626
28,ou,24531132241,0.008700023193609326,0.40611252872760556
29,io,23542263265,0.008349318507738292,0.41446184723534385
30,le,23382173640,0.008292542349309354,0.4227543895846532
31,ve,23270129573,0.008252805659945416,0.43100719524459863
32,co,22384167777,0.00793859724517974,0.4389457924897784
33,me,22360109325,0.007930064859134691,0.44687585734891305
34,de,21565300071,0.007648183905725693,0.45452404125463874
35,hi,21520845924,0.0076324181389379,0.46215645939357664
36,ri,20516398905,0.007276188663828457,0.4694326480574051
37,ro,20491179118,0.007267244407620373,0.4766998924650255
38,ic,19701195496,0.0069870748758413,0.4836869673408668
39,ne,19504235770,0.006917222650205216,0.490604189991072
40,ea,19403941063,0.006881652898734964,0.49748584288980696
41,ra,19332539912,0.006856330314206551,0.5043421732040135
42,ce,18367773425,0.006514173632205198,0.5108563468362187
43,li,17604626629,0.0062435218432823885,0.5170998686795011
44,ch,16854985236,0.005977659776993852,0.5230775284564949
45,ll,16257360474,0.00576571076300642,0.5288432392195014
46,be,16249257887,0.005762837161652202,0.5346060763811535
47,ma,15938689768,0.0056526934547922415,0.5402587698359458
48,si,15509759748,0.00550057242402309,0.5457593422599689
49,om,15402602484,0.005462568850726722,0.5512219111106956
50,ur,15303657594,0.005427477814999868,0.5566493889256955
51,ca,15174413181,0.005381640982859478,0.562031029908555
52,el,14952716079,0.0053030155892002185,0.5673340454977552
53,ta,14941000711,0.005298860706648515,0.5726329062044037
54,la,14874551789,0.005275294441670981,0.5779082006460747
55,ns,14350320288,0.005089374518664006,0.5829975751647387
56,di,13899990598,0.0049296640450796365,0.5879272392098184
57,fo,13753006196,0.004877535684515768,0.5928047748943341
58,ho,13672603513,0.004849020685694829,0.597653795580029
59,pe,13477683504,0.004779891850444238,0.6024336874304732
60,ec,13457763533,0.004772827186326274,0.6072065146167994
61,pr,13378480175,0.00474470915872401,0.6119512237755235
62,no,13099447521,0.004645749577986965,0.6165969733535104
63,ct,12997849406,0.004609717569833274,0.6212066909233437
64,us,12808517567,0.004542570592090613,0.6257492615154343
65,ac,12625666388,0.004477721995513402,0.6302269835109477
66,ot,12465822481,0.004421032981545556,0.6346480164924932
67,il,12167821320,0.004315346175614546,0.6389633626681078
68,tr,12006693396,0.004258201782026581,0.6432215644501343
69,ly,11983948242,0.0042501351601765104,0.6474716996103109
70,nc,11722631112,0.004157458431293705,0.6516291580416046
71,et,11634161334,0.004126082418439024,0.6557552404600436
72,ut,11423899818,0.004051512681993427,0.6598067531420371
73,ss,11421755201,0.004050752088578574,0.6638575052306156
74,so,11214705934,0.003977321583723639,0.6678348268143393
75,rs,11180732354,0.003965272774436477,0.6718000995887757
76,un,11121118166,0.003944130463793296,0.675744230052569
77,lo,10908830081,0.0038688419999310334,0.6796130720525001
78,wa,10865206430,0.0038533707704842494,0.6834664428229843
79,ge,10861045622,0.0038518951302346054,0.687318337953219
80,ie,10845731320,0.003846463877356222,0.6911648018305752
81,wh,10680697684,0.0037879343139092495,0.6949527361444844
82,ee,10647199443,0.0037760540847057225,0.6987287902291901
83,wi,10557401491,0.003744207031848012,0.7024729972610382
84,em,10536054813,0.003736636382769038,0.7062096336438072
85,ad,10375130449,0.0036795641822092583,0.7098891978260164
86,ol,10305660447,0.0036549264841722333,0.7135441243101887
87,rt,10198055461,0.0036167641252256148,0.7171608884354143
88,po,10189505383,0.003613731820145834,0.7207746202555602
89,we,10176141608,0.0036089923262116784,0.7243836125817718
90,na,9790855551,0.003472349728587426,0.7278559623103592
91,ul,9751225781,0.0034582949383408857,0.7313142572487001
92,ni,9564648232,0.0033921247759627383,0.7347063820246629
93,ts,9516029773,0.0033748821262235386,0.7380812641508864
94,mo,9498813191,0.0033687762253118664,0.7414500403761982
95,ow,9318366591,0.0033047804182783813,0.7447548207944766
96,pa,9123652775,0.0032357247098555595,0.7479905455043322
97,im,8959759181,0.0031775994649595714,0.7511681449692917
98,mi,8957825538,0.0031769136939652737,0.7543450586632571
99,ai,8922759715,0.003164477518153824,0.7575095361814108
100,sh,8888705287,0.0031524000359351304,0.760661936217346
101,ir,8886799024,0.0031517239753216133,0.7638136601926676
102,su,8774129154,0.0031117653434659404,0.7669254255361335
103,id,8332214014,0.002955039109640445,0.769880464645774
104,os,8176085241,0.002899667676599962,0.772780132322374
105,iv,8116349309,0.0028784821891635827,0.7756586145115375
106,ia,8072199471,0.0028628243462715157,0.778521438857809
107,am,8032259916,0.0028486596900530927,0.7813700985478621
108,fi,8024355222,0.002845856271912309,0.7842159548197745
109,ci,7936922442,0.0028148480328139764,0.7870308028525884
110,vi,7600241898,0.0026954434935998663,0.7897262463461883
111,pl,7415349106,0.002629870834216346,0.7923561171804047
112,ig,7189051323,0.002549613798323326,0.794905730978728
113,tu,7187510085,0.0025490671946763704,0.7974547981734044
114,ev,7184041787,0.0025478371547114024,0.8000026353281158
115,ld,7122648226,0.002526063785288789,0.8025286991134045
116,ry,6985436186,0.0024774012156725655,0.805006100329077
117,mp,6743935008,0.002391752260327065,0.8073978525894041
118,fe,6670566518,0.002365731954439461,0.8097635845438437
119,bl,6581097936,0.002334001713419505,0.8120975862572631
120,ab,6479202253,0.0022978641720814404,0.8143954504293446
121,gh,6414827751,0.0022750336049891886,0.8166704840343337
122,ty,6408447994,0.0022727710093077376,0.8189432550436415
123,op,6313536754,0.002239110516949617,0.8211823655605911
124,wo,6252724050,0.0022175431498151384,0.8233999087104062
125,sa,6147356936,0.0021801744573863575,0.8255800831677926
126,ay,6128842727,0.0021736083500363624,0.827753691517829
127,ex,6035335807,0.0021404459030375522,0.8298941374208665
128,ke,6027536039,0.0021376796971470896,0.8320318171180137
129,fr,6011200185,0.0021318861484722396,0.8341637032664858
130,oo,5928601045,0.0021025921710596876,0.8362662954375455
131,av,5778409728,0.002049326470620682,0.8383156219081662
132,ag,5772552144,0.0020472490648100632,0.8403628709729762
133,if,5731148470,0.002032565155377681,0.842395436128354
134,ap,5719570727,0.002028459081852819,0.8444238952102068
135,gr,5548472398,0.0019677786609059254,0.8463916738711127
136,od,5511014957,0.0019544942921995924,0.8483461681633123
137,bo,5509918152,0.001954105307751377,0.8503002734710636
138,sp,5392724233,0.0019125422113792543,0.8522128156824429
139,rd,5338083783,0.001893163848503906,0.8541059795309468
140,do,5307591560,0.0018823497105864835,0.8559883292415333
141,uc,5291161134,0.0018765226217315315,0.8578648518632649
142,bu,5214802738,0.001849441938716155,0.859714293801981
143,ei,5169898489,0.0018335165422055663,0.8615478103441866
144,ov,5021440160,0.0017808654499976906,0.8633286757941843
145,by,4975814759,0.001764684295250406,0.8650933600894347
146,rm,4938158020,0.001751329245044116,0.8668446893344788
147,ep,4837800987,0.001715737389512778,0.8685604267239916
148,tt,4812693687,0.0017068330270812787,0.8702672597510729
149,oc,4692062395,0.0016640508583674763,0.8719313106094403
150,fa,4624241031,0.0016399978536375908,0.873571308463078
151,ef,4588497002,0.0016273211504883858,0.8751986296135663
152,cu,4585165906,0.0016261397695323246,0.8768247693830986
153,rn,4521640992,0.0016036105108033557,0.878428379893902
154,sc,4363410770,0.0015474937939797774,0.8799758736878818
155,gi,4275639800,0.001516365615010144,0.8814922393028919
156,da,4259590348,0.0015106736394717565,0.8830029129423637
157,yo,4226720021,0.0014990161014310313,0.8845019290437947
158,cr,4214150542,0.0014945583064235584,0.8859964873502182
159,cl,4201617719,0.0014901135115518744,0.8874866008617701
160,du,4186093215,0.0014846077100445331,0.8889712085718147
161,ga,4175274057,0.0014807706704570165,0.8904519792422717
162,qu,4160167957,0.0014754132569029317,0.8919273924991746
163,ue,4158448570,0.001474803472298135,0.8934021959714727
164,ff,4125634219,0.0014631657862762036,0.8948653617577489
165,ba,4122472992,0.0014620446497566957,0.8963274064075056
166,ey,4053144855,0.0014374572644723898,0.897764863671978
167,ls,3990203351,0.0014151349134589523,0.899179998585437
168,va,3946966167,0.0013998007454339783,0.900579799330871
169,um,3901923211,0.001383826156162727,0.9019636254870337
170,pp,3850125519,0.0013654559840341753,0.9033290814710678
171,ua,3844138094,0.001363332529810447,0.9046924140008783
172,up,3835093459,0.001360124828938564,0.9060525388298168
173,lu,3811884104,0.001351893577122505,0.9074044324069394
174,go,3725558729,0.0013212780817870803,0.9087257104887264
175,ht,3670802795,0.0013018587622421166,0.9100275692509686
176,ru,3618438291,0.001283287568917398,0.911310856819886
177,ug,3606562400,0.001279075756509812,0.9125899325763958
178,ds,3560125353,0.0012626067496179288,0.9138525393260137
179,lt,3486149365,0.001236370993149481,0.9150889103191632
180,pi,3470838749,0.001230941047519584,0.9163198513666828
181,rc,3422694015,0.0012138664054551589,0.9175337177721379
182,rr,3404547067,0.0012074305480743342,0.9187411483202123
183,eg,3370515965,0.0011953613384758778,0.9199365096586881
184,au,3356322923,0.0011903277430684266,0.9211268374017566
185,ck,3316660134,0.0011762612425566196,0.9223030986443131
186,ew,3293529190,0.0011680577993843661,0.9234711564436976
187,mu,3231856188,0.001146185325560156,0.9246173417692577
