rank,ngram,count,share,cumulative_share
1,the,69221160871,0.03299197505365841,0.03299197505365841
2,and,26468697834,0.012615428687616793,0.045607403741275206
3,ing,21289988294,0.01014716820478224,0.055754571946057443
4,ion,20449402244,0.009746530688116845,0.06550110263417429
5,tio,16819216214,0.008016322678963456,0.07351742531313775
6,ent,15514431359,0.007394440167244617,0.08091186548038236
7,ati,11778016773,0.005613601833123559,0.08652546731350592
8,for,11352182252,0.005410641904150388,0.09193610921765631
9,her,10921772146,0.005205501174042472,0.09714161039169879
10,ter,10298054230,0.00490822667494038,0.10204983706663917
11,hat,9595332482,0.004573297614405191,0.10662313468104435
12,tha,9447439870,0.004502809496258526,0.11112594417730288
13,ere,8939106849,0.004260529388026349,0.11538647356532923
14,ate,8757480213,0.00417396306396312,0.11956043662929235
15,his,8073090301,0.003847771266258972,0.12340820789555132
16,con,8068814778,0.0038457334797442357,0.12725394137529555
17,res,7496974307,0.003573184647616686,0.13082712602291224
18,ver,7415630371,0.0035344147530712924,0.13436154077598353
19,all,7317964040,0.003487865329233411,0.13784940610521695
20,ons,7187472617,0.0034256709118303938,0.14127507701704733
21,nce,6936472580,0.003306040052495288,0.14458111706954263
22,men,6889167446,0.0032834936262117636,0.1478646106957544
23,ith,6795041998,0.0032386318470497876,0.1511032425428042
24,ted,6610757134,0.0031507985665998207,0.154254041109404
25,ers,6524449179,0.003109662736711056,0.15736370384611506
26,pro,6441091673,0.003069933140675932,0.160433636986791
27,thi,6357454845,0.0030300704150552876,0.16346370740184626
28,wit,6270098257,0.00298843478895766,0.16645214219080393
29,are,6050931663,0.002883976286516211,0.16933611847732014
30,ess,5961685248,0.0028414399369338103,0.17217755841425395
31,not,5871622477,0.002798514498286043,0.17497607291254
32,ive,5738676234,0.0027351500721865206,0.17771122298472652
33,was,5723542738,0.00272793719224888,0.1804391601769754
34,ect,5633214660,0.0026848853038014355,0.18312404548077685
35,rea,5614636634,0.0026760307026559784,0.1858000761834328
36,com,5512716986,0.002627454076058224,0.18842753025949105
37,eve,5367611215,0.002558294213427554,0.1909858244729186
38,per,5340402298,0.0025453259837763067,0.1935311504566949
39,int,5272125236,0.0025127839821990866,0.19604393443889398
40,est,5093021295,0.002427420017204396,0.19847135445609837
41,sta,5003705570,0.002384850633304711,0.2008562050894031
42,cti,4965296625,0.002366544281037103,0.2032227493704402
43,ica,4851083411,0.002312108333132265,0.20553485770357247
44,ist,4696789776,0.002238569379251604,0.20777342708282406
