ngram,rank_books,share_books,rank_web,share_web,rank_subtlex,share_subtlex,rank_spread,stability_class,missing_from,gesture_tags
the,1,0.03299198,1,0.01363649,2,0.02685359,1,universal,,double_row_change
you,92,0.00168097,21,0.00249370,1,0.02786600,91,universal,,
and,2,0.01261543,3,0.00721691,8,0.00940819,6,universal,,double_row_change
ing,3,0.01014717,2,0.00726273,3,0.01607827,1,universal,,double_row_change
ion,4,0.00974653,4,0.00662825,46,0.00273740,42,universal,,redirect
hat,11,0.00457330,33,0.00201787,4,0.01395112,29,universal,,
tio,5,0.00801632,5,0.00543201,76,0.00207182,71,universal,,
her,9,0.00520550,13,0.00279323,5,0.01060804,8,universal,,
ent,6,0.00739444,6,0.00530294,42,0.00315206,36,universal,,double_row_change
thi,27,0.00303007,29,0.00222021,6,0.00968350,23,universal,,double_row_change
ati,7,0.00561360,8,0.00420410,132,0.00144867,125,universal,,
for,8,0.00541064,7,0.00436418,17,0.00534785,10,universal,,
tha,12,0.00450281,26,0.00232031,7,0.00945901,19,universal,,
ter,10,0.00490823,9,0.00359347,32,0.00355082,23,universal,,
ere,13,0.00426053,17,0.00254208,9,0.00802735,8,universal,,
ate,14,0.00417396,10,0.00331815,62,0.00227110,52,universal,,redirect
all,19,0.00348787,18,0.00253784,10,0.00614475,9,universal,,
ers,25,0.00310966,11,0.00306078,88,0.00188319,77,universal,,redirect
our,48,0.00209998,23,0.00244669,11,0.00585234,37,universal,,
his,15,0.00384777,40,0.00193794,12,0.00583226,28,universal,,double_row_change
res,17,0.00357318,12,0.00280787,109,0.00163234,97,universal,,
wha,369,0.00067101,660,0.00039180,13,0.00574640,647,unstable,web,
est,40,0.00242742,14,0.00268287,95,0.00183901,81,universal,,"redirect,double_row_change"
hin,108,0.00152174,146,0.00108229,14,0.00561714,132,universal,,double_row_change
com,36,0.00262745,15,0.00267824,39,0.00325367,24,universal,,double_row_change
ome,55,0.00200904,57,0.00162676,15,0.00550236,42,universal,,double_row_change
con,16,0.00384573,24,0.00238256,144,0.00134893,128,universal,,double_row_change
pro,26,0.00306993,16,0.00264955,139,0.00135708,123,universal,,
now,288,0.00085373,413,0.00057860,16,0.00536784,397,universal,,
ver,18,0.00353441,27,0.00231075,20,0.00480249,9,universal,,
ght,88,0.00171058,115,0.00119773,18,0.00514923,97,universal,,
int,39,0.00251278,19,0.00253358,140,0.00135699,121,universal,,double_row_change
out,70,0.00184080,66,0.00151296,19,0.00490190,51,universal,,
ons,20,0.00342567,22,0.00245239,215,0.00099084,195,universal,,double_row_change
men,22,0.00328349,20,0.00253126,149,0.00133166,129,universal,,double_row_change
nce,21,0.00330604,43,0.00185953,106,0.00166894,85,universal,,contains_same_finger
ave,61,0.00193105,96,0.00128556,21,0.00461833,75,universal,,"redirect,double_row_change"
igh,90,0.00169365,94,0.00129172,22,0.00449762,72,universal,,
ith,23,0.00323863,45,0.00183430,36,0.00332140,22,universal,,
are,29,0.00288398,25,0.00235362,23,0.00422975,6,universal,,redirect
ted,24,0.00315080,41,0.00189451,131,0.00145799,107,universal,,contains_same_finger
one,47,0.00210908,71,0.00145076,24,0.00420790,47,universal,,double_row_change
ell,159,0.00122028,173,0.00099427,25,0.00416136,148,universal,,
not,31,0.00279851,54,0.00167153,26,0.00405975,28,universal,,
don,788,0.00031826,414,0.00057838,27,0.00398333,761,unstable,books,double_row_change
wit,28,0.00298843,53,0.00169304,40,0.00322001,25,universal,,
ess,30,0.00284144,28,0.00228445,87,0.00188743,59,universal,,
hav,104,0.00155820,239,0.00082463,28,0.00390703,211,universal,,
eve,37,0.00255829,76,0.00141079,29,0.00388785,47,universal,,double_row_change
rea,35,0.00267603,30,0.00220661,33,0.00352238,5,universal,,
kno,501,0.00051856,838,0.00030842,30,0.00357692,808,conversational-leaning,"books,web","redirect,double_row_change"
was,33,0.00272794,271,0.00076460,31,0.00356811,240,universal,,
sta,41,0.00238485,31,0.00214766,64,0.00222415,33,universal,,"redirect,double_row_change"
ive,32,0.00273515,51,0.00174128,68,0.00218123,36,universal,,double_row_change
tin,52,0.00205647,32,0.00208290,94,0.00184640,62,universal,,
ect,34,0.00268489,35,0.00201286,205,0.00103317,171,universal,,"contains_same_finger,double_row_change"
ist,44,0.00223857,34,0.00201371,136,0.00140989,102,universal,,double_row_change
ust,152,0.00125172,154,0.00105952,34,0.00349008,120,universal,,double_row_change
get,627,0.00041830,411,0.00058288,35,0.00343817,592,unstable,books,
ort,93,0.00168013,36,0.00200286,222,0.00096539,186,universal,,contains_same_finger
ear,45,0.00217612,37,0.00200198,53,0.00251315,16,universal,,"redirect,double_row_change"
can,123,0.00140359,129,0.00113955,37,0.00331712,92,universal,,double_row_change
per,38,0.00254533,59,0.00161845,154,0.00131233,116,universal,,
ine,53,0.00204444,38,0.00198608,108,0.00163308,70,universal,,double_row_change
hey,167,0.00118300,590,0.00043493,38,0.00330044,552,unstable,web,
age,115,0.00146768,39,0.00198468,279,0.00079550,240,universal,,redirect
oul,97,0.00161764,342,0.00066011,41,0.00316410,301,universal,,
cti,42,0.00236654,62,0.00156608,329,0.00067591,287,universal,,
ont,145,0.00129149,42,0.00189189,362,0.00061906,320,universal,,double_row_change
ica,43,0.00231211,58,0.00162529,345,0.00064310,302,universal,,double_row_change
uld,105,0.00155380,402,0.00058781,43,0.00310936,359,universal,,
ill,64,0.00190414,67,0.00147099,44,0.00302345,23,universal,,
sto,219,0.00100738,44,0.00183906,194,0.00109349,175,universal,,
ant,76,0.00178998,105,0.00125065,45,0.00301471,60,universal,,double_row_change
ain,46,0.00214855,116,0.00119649,90,0.00186881,70,universal,,double_row_change
nte,51,0.00206187,46,0.00180553,208,0.00101574,162,universal,,
sin,178,0.00111857,47,0.00179370,212,0.00099653,165,universal,,double_row_change
jus,721,0.00034925,976,0.00025624,47,0.00272551,929,conversational-leaning,"books,web","contains_same_finger,double_row_change"
tor,113,0.00148590,48,0.00179151,220,0.00096933,172,universal,,
ake,259,0.00092607,346,0.00065781,48,0.00267024,298,universal,,
iti,49,0.00209970,82,0.00137434,350,0.00063726,301,universal,,
ore,75,0.00180994,49,0.00177179,101,0.00171119,52,universal,,
but,103,0.00156715,375,0.00061780,49,0.00261027,326,universal,,
rat,50,0.00206999,78,0.00138836,330,0.00067545,280,universal,,double_row_change
lin,142,0.00129541,50,0.00175750,160,0.00127301,110,universal,,double_row_change
som,264,0.00091118,601,0.00042655,50,0.00259009,551,unstable,web,double_row_change
han,107,0.00154261,143,0.00109268,51,0.00253460,92,universal,,
ite,162,0.00120790,52,0.00170506,287,0.00077099,235,universal,,
ike,493,0.00052300,747,0.00034920,52,0.00252715,695,unstable,web,"contains_same_finger,double_row_change"
der,54,0.00203516,101,0.00126351,123,0.00153399,69,universal,,contains_same_finger
whe,135,0.00134402,438,0.00054845,54,0.00248464,384,universal,,double_row_change
rig,460,0.00055197,390,0.00060373,55,0.00247449,405,universal,,
nth,904,0.00027336,55,0.00166595,917,0.00020209,862,web-leaning,"books,subtlex",double_row_change
man,56,0.00198765,104,0.00125364,75,0.00211737,48,universal,,double_row_change
tra,59,0.00195574,56,0.00162703,211,0.00100813,155,universal,,contains_same_finger
she,160,0.00120932,405,0.00058660,56,0.00247053,349,universal,,
pre,57,0.00198533,148,0.00107771,206,0.00102217,149,universal,,
ove,67,0.00186649,121,0.00117630,57,0.00242721,64,universal,,double_row_change
rom,58,0.00196410,123,0.00116263,137,0.00140930,79,universal,,
lik,549,0.00048309,891,0.00028380,58,0.00239462,833,conversational-leaning,"books,web","contains_same_finger,double_row_change"
kin,211,0.00102558,227,0.00084932,59,0.00235912,168,universal,,"contains_same_finger,double_row_change"
whi,60,0.00193333,416,0.00057615,325,0.00068083,356,universal,,double_row_change
art,79,0.00177616,60,0.00160376,114,0.00159091,54,universal,,contains_same_finger
wan,1031,0.00022567,960,0.00026129,60,0.00235479,971,conversational-leaning,"books,web",double_row_change
ste,87,0.00171228,61,0.00158934,111,0.00161628,50,universal,,redirect
got,1345,0.00014498,1335,0.00018092,61,0.00229238,1284,conversational-leaning,"books,web",
str,62,0.00190871,75,0.00142220,256,0.00085785,194,universal,,contains_same_finger
act,63,0.00190471,93,0.00129230,214,0.00099339,151,universal,,double_row_change
did,687,0.00036697,1441,0.00016454,63,0.00223858,1378,conversational-leaning,"books,web",double_row_change
oft,1036,0.00022413,63,0.00154648,1630,0.00006909,1567,web-leaning,"books,subtlex","contains_same_finger,double_row_change"
oth,83,0.00174572,64,0.00153935,70,0.00217374,19,universal,,
ure,65,0.00188000,90,0.00129811,135,0.00142135,70,universal,,
hou,101,0.00159313,247,0.00081008,65,0.00220058,182,universal,,
ice,188,0.00109374,65,0.00153076,151,0.00132537,123,universal,,"contains_same_finger,double_row_change"
ide,66,0.00186683,68,0.00145535,125,0.00149301,59,universal,,"contains_same_finger,double_row_change"
how,285,0.00086541,409,0.00058353,66,0.00219380,343,universal,,
bou,351,0.00070116,371,0.00062063,67,0.00218344,304,universal,,
cal,68,0.00186478,127,0.00115630,164,0.00126275,96,universal,,
ble,69,0.00184674,110,0.00121269,147,0.00134413,78,universal,,double_row_change
eth,364,0.00067427,69,0.00145524,166,0.00125557,295,universal,,
yea,562,0.00047166,659,0.00039442,69,0.00217730,590,conversational-leaning,"books,web",
ies,86,0.00171887,70,0.00145426,316,0.00069562,246,universal,,
sti,71,0.00182943,97,0.00128482,159,0.00127686,88,universal,,
abo,290,0.00085174,302,0.00070730,71,0.00214846,231,universal,,double_row_change
tic,72,0.00182436,135,0.00110686,315,0.00069623,243,universal,,
hen,120,0.00144326,197,0.00091895,72,0.00214258,125,universal,,double_row_change
ser,240,0.00094707,72,0.00143483,420,0.00054264,348,universal,,
oun,73,0.00182209,87,0.00132104,105,0.00166896,32,universal,,contains_same_finger
eco,242,0.00094451,73,0.00143403,456,0.00050734,383,universal,,"contains_same_finger,double_row_change"
ook,383,0.00063894,303,0.00070533,73,0.00213061,310,universal,,
enc,74,0.00181319,176,0.00099220,360,0.00062291,286,universal,,
era,94,0.00165250,74,0.00142443,448,0.00051233,374,universal,,redirect
oin,391,0.00062709,446,0.00054309,74,0.00212765,372,universal,,
ity,77,0.00178270,86,0.00132501,413,0.00055154,336,universal,,
din,150,0.00126980,77,0.00139680,227,0.00094362,150,universal,,double_row_change
him,339,0.00073268,1629,0.00013802,77,0.00206745,1552,unstable,web,double_row_change
fro,78,0.00177971,155,0.00105885,155,0.00130229,77,universal,,contains_same_finger
ink,771,0.00032765,469,0.00052009,78,0.00206348,693,unstable,books,double_row_change
any,180,0.00110881,259,0.00078537,79,0.00203876,180,universal,,"contains_same_finger,double_row_change"
ona,183,0.00110679,79,0.00138677,631,0.00034975,552,unstable,subtlex,double_row_change
tur,80,0.00177121,113,0.00120502,230,0.00093898,150,universal,,
ces,110,0.00149963,80,0.00138492,541,0.00040693,461,unstable,subtlex,"contains_same_finger,double_row_change"
ood,345,0.00071526,540,0.00046922,80,0.00201628,460,unstable,web,
par,81,0.00175940,120,0.00117758,202,0.00105550,121,universal,,double_row_change
cou,111,0.00149268,172,0.00099580,81,0.00201505,91,universal,,
edi,354,0.00069193,81,0.00137873,701,0.00030563,620,unstable,subtlex,"contains_same_finger,double_row_change"
red,82,0.00175010,139,0.00110330,201,0.00105762,119,universal,,contains_same_finger
see,287,0.00085873,500,0.00049744,82,0.00198932,418,universal,,
eri,84,0.00173249,83,0.00137109,284,0.00078487,201,universal,,
use,106,0.00154861,89,0.00130346,83,0.00194036,23,universal,,double_row_change
ran,139,0.00131386,84,0.00134298,229,0.00094015,145,universal,,double_row_change
ack,352,0.00069806,196,0.00092103,84,0.00193703,268,universal,,double_row_change
hic,85,0.00172434,434,0.00055138,523,0.00042645,438,unstable,subtlex,double_row_change
wel,535,0.00049659,764,0.00034411,85,0.00191074,679,conversational-leaning,"books,web",
san,896,0.00027654,85,0.00133346,751,0.00027669,811,web-leaning,"books,subtlex",
ery,280,0.00087488,352,0.00064498,86,0.00190695,266,universal,,
nal,102,0.00158626,88,0.00131243,460,0.00049887,372,universal,,
ich,89,0.00170506,412,0.00058042,440,0.00052309,351,universal,,double_row_change
loo,609,0.00043668,832,0.00031144,89,0.00187268,743,conversational-leaning,"books,web",contains_same_finger
und,91,0.00168776,188,0.00095078,97,0.00180933,97,universal,,"contains_same_finger,double_row_change"
rin,117,0.00145937,91,0.00129382,163,0.00126365,72,universal,,
lea,216,0.00101586,164,0.00103718,91,0.00186426,125,universal,,double_row_change
ame,116,0.00146010,92,0.00129307,119,0.00155635,27,universal,,double_row_change
way,361,0.00068205,695,0.00037435,92,0.00185648,603,unstable,web,double_row_change
ugh,147,0.00128771,552,0.00046023,93,0.00184927,459,unstable,web,
wer,95,0.00164662,340,0.00066093,134,0.00142333,245,universal,,
ese,114,0.00146944,95,0.00128670,267,0.00083074,172,universal,,double_row_change
nti,96,0.00164566,160,0.00104921,277,0.00079938,181,universal,,
ple,146,0.00129130,190,0.00094936,96,0.00181074,94,universal,,double_row_change
nde,98,0.00160709,122,0.00116292,190,0.00112512,92,universal,,"contains_same_finger,double_row_change"
nts,134,0.00134402,98,0.00127945,346,0.00064220,248,universal,,double_row_change
lly,163,0.00120477,415,0.00057706,98,0.00177697,317,universal,,
ind,99,0.00160622,106,0.00124354,107,0.00164155,8,universal,,double_row_change
sho,202,0.00104879,149,0.00107223,99,0.00175639,103,universal,,
hes,207,0.00103099,99,0.00127345,278,0.00079887,179,universal,,double_row_change
tho,100,0.00160596,204,0.00089476,133,0.00143514,104,universal,,double_row_change
wor,140,0.00130161,140,0.00110245,100,0.00172952,40,universal,,
sit,229,0.00097816,100,0.00126797,422,0.00054072,322,universal,,
let,511,0.00051364,348,0.00065428,102,0.00170423,409,unstable,books,
fth,2538,0.00002465,102,0.00126150,2787,0.00001160,2685,web-leaning,"books,subtlex","contains_same_finger,double_row_change"
les,131,0.00135396,103,0.00125692,268,0.00082820,165,universal,,double_row_change
who,208,0.00102964,657,0.00039461,103,0.00169407,554,unstable,web,double_row_change
eah,3549,0.00000628,3972,0.00002213,104,0.00168879,3868,conversational-leaning,"books,web",
new,347,0.00071251,107,0.00122064,291,0.00076044,240,universal,,
pri,221,0.00099822,108,0.00122015,412,0.00055207,304,universal,,
een,109,0.00150139,208,0.00088999,128,0.00147418,99,universal,,
ree,224,0.00099079,109,0.00121880,228,0.00094195,119,universal,,
eal,329,0.00075133,191,0.00094478,110,0.00162988,219,universal,,
ast,179,0.00111535,111,0.00121186,156,0.00129984,68,universal,,
lat,112,0.00149130,220,0.00086876,307,0.00071520,195,universal,,
nta,243,0.00094309,112,0.00121012,650,0.00033573,538,unstable,subtlex,double_row_change
goo,813,0.00030676,958,0.00026189,112,0.00160889,846,conversational-leaning,"books,web",
own,222,0.00099817,313,0.00069154,113,0.00159193,200,universal,,
por,197,0.00107422,114,0.00120167,458,0.00050208,344,universal,,
